system,fault,n,accuracy,finding_rate,span_rate,gold_overlap_rate,exact_corrupt_span_rate,cwe787_rate
freeform_mas,evidence_corruption,30,0.5333333333333333,0.23333333333333334,0.23333333333333334,0.1,0.1,0.23333333333333334
freeform_mas,evidence_deletion,30,0.43333333333333335,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.0,0.0
freeform_mas,verdict_inversion,30,0.43333333333333335,0.6,0.6,0.26666666666666666,0.0,0.0
self_refine,evidence_corruption,30,0.43333333333333335,0.2,0.2,0.06666666666666667,0.1,0.2
self_refine,evidence_deletion,30,0.43333333333333335,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.0,0.0
self_refine,verdict_inversion,30,0.5333333333333333,0.9,0.9,0.4,0.0,0.0
structured_mas,evidence_corruption,30,0.43333333333333335,0.9333333333333333,0.9333333333333333,0.23333333333333334,0.3333333333333333,0.9333333333333333
structured_mas,evidence_deletion,30,0.5,1.0,1.0,0.5,0.0,0.0
structured_mas,verdict_inversion,30,0.5,0.9666666666666667,0.9666666666666667,0.36666666666666664,0.0,0.0
