system,records,mean_completion_tokens,median_completion_tokens,mean_total_tokens,median_total_tokens,mean_seconds,median_seconds
freeform_mas,58,714.948275862069,718.5,5842.068965517241,4842.5,62.57020879677593,62.991749604500455
self_refine,58,708.7931034482758,743.5,5824.896551724138,5317.5,62.170053025965565,64.20577534549994
structured_mas,58,532.0,540.0,5363.327586206897,4698.0,47.410909336793196,47.61065962799921
