system,n,recovered,recovery_rate,followed,follow_rate,accuracy
freeform_mas,30,13,0.43333333333333335,8,0.26666666666666666,0.43333333333333335
self_refine,30,25,0.8333333333333334,3,0.1,0.5333333333333333
structured_mas,30,29,0.9666666666666667,0,0.0,0.5
