system,n,finding_rate,span_rate,gold_overlap_rate,accuracy
freeform_mas,30,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.43333333333333335
self_refine,30,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.43333333333333335
structured_mas,30,1.0,1.0,0.5,0.5
